data;surowiec nazwa;surowiec receptura;surowiec wyprodukowany
05-01-2024;CEM II 42.5 BS;300;300
05-01-2024;CEM II/BS 42.5;1100;1101
05-01-2024;0-2;7250;7575
05-01-2024;ZM;17.5;17.55
05-01-2024;woda czysta;650;300
17-01-2024;CEM II 42.5 BS;60;60
17-01-2024;CEM II/BS 42.5;220;222
17-01-2024;0-2;1450;1500
17-01-2024;ZM;3.5;3.55
17-01-2024;woda czysta;130;59
17-01-2024;CEM II 42.5 BS;210;210
17-01-2024;CEM II/BS 42.5;770;772
17-01-2024;0-2;5075;5210
17-01-2024;ZM;12.25;12.25
17-01-2024;woda czysta;455;0
17-01-2024;CEM II 42.5 BS;180;179
17-01-2024;CEM II/BS 42.5;660;659
17-01-2024;0-2;4350;4450
17-01-2024;ZM;10.5;10.35
17-01-2024;woda czysta;390;0
17-01-2024;CEM II 42.5 BS;180;180
17-01-2024;CEM II/BS 42.5;660;660
17-01-2024;0-2;4350;4460
17-01-2024;ZM;10.5;10.45
17-01-2024;woda czysta;390;71
17-01-2024;POPIÓŁ LOTNY;640;639
17-01-2024;CEM II 42.5 BS;600;599
17-01-2024;0-2;12800;13290
17-01-2024;woda czysta;560;101
17-01-2024;POPIÓŁ LOTNY;440;440
17-01-2024;CEM II 42.5 BS;1680;1678
17-01-2024;CEM II/BS 42.5;400;399
17-01-2024;8-16;6080;6120
17-01-2024;2-8;2400;2370
17-01-2024;0-2;6160;6330
17-01-2024;POLIMER;16;16.05
17-01-2024;woda czysta;1200;651
17-01-2024;POPIÓŁ LOTNY;412.5;412
17-01-2024;CEM II 42.5 BS;975;977
17-01-2024;CEM II/BS 42.5;600;599
17-01-2024;8-16;5700;5675
17-01-2024;2-8;2700;2715
17-01-2024;0-2;5475;5650
17-01-2024;POLIMER;6;5.95
17-01-2024;woda czysta;1200;616
17-01-2024;POPIÓŁ LOTNY;55;54
17-01-2024;CEM II 42.5 BS;210;213
17-01-2024;CEM II/BS 42.5;50;50
17-01-2024;8-16;760;795
17-01-2024;2-8;300;310
17-01-2024;0-2;770;775
17-01-2024;POLIMER;2;2
17-01-2024;woda czysta;150;29
17-01-2024;POPIÓŁ LOTNY;390.5;390
17-01-2024;CEM II 42.5 BS;1491;1495
17-01-2024;CEM II/BS 42.5;355;356
17-01-2024;8-16;5751;5740
17-01-2024;2-8;2130;2190
17-01-2024;0-2;5254;5355
17-01-2024;POLIMER;14.2;14.1
17-01-2024;woda czysta;1065;505
17-01-2024;POPIÓŁ LOTNY;490;491
17-01-2024;CEM II 42.5 BS;630;628
17-01-2024;CEM II/BS 42.5;385;383
17-01-2024;8-16;5670;5670
17-01-2024;2-8;2205;2255
17-01-2024;0-2;5145;5310
17-01-2024;POLIMER;9.1;9.1
17-01-2024;woda czysta;1120;690
17-01-2024;POPIÓŁ LOTNY;302.5;304
17-01-2024;CEM II 42.5 BS;1155;1153
17-01-2024;CEM II/BS 42.5;275;278
17-01-2024;8-16;4455;4485
17-01-2024;2-8;1650;1630
17-01-2024;0-2;4070;4180
17-01-2024;POLIMER;11;10.95
17-01-2024;woda czysta;825;470
17-01-2024;POPIÓŁ LOTNY;434.5;436
17-01-2024;CEM II 42.5 BS;1658.9999;1657
17-01-2024;CEM II/BS 42.5;395;395
17-01-2024;8-16;6003.9995;6100
17-01-2024;2-8;2370;2345
17-01-2024;0-2;6082.9995;6240
17-01-2024;POLIMER;15.8;15.85
17-01-2024;woda czysta;1185;624
17-01-2024;POPIÓŁ LOTNY;440;438
17-01-2024;CEM II 42.5 BS;1680;1680
17-01-2024;CEM II/BS 42.5;400;401
17-01-2024;8-16;6080;6065
17-01-2024;2-8;2400;2410
17-01-2024;0-2;6160;6320
17-01-2024;POLIMER;16;16.05
17-01-2024;woda czysta;1200;588
17-01-2024;POPIÓŁ LOTNY;450;449
17-01-2024;CEM II 42.5 BS;1800;1798
17-01-2024;CEM II/BS 42.5;360;358
17-01-2024;8-16;6300;6345
17-01-2024;2-8;3240;3245
17-01-2024;0-2;6840;6995
17-01-2024;POLIMER;16.2;16.2
17-01-2024;woda czysta;1350;804
17-01-2024;POPIÓŁ LOTNY;450;450
17-01-2024;CEM II 42.5 BS;1800;1805
17-01-2024;CEM II/BS 42.5;360;360
17-01-2024;8-16;6300;6285
17-01-2024;2-8;3240;3225
17-01-2024;0-2;6840;6980
17-01-2024;POLIMER;16.2;16.2
17-01-2024;woda czysta;1350;429
17-01-2024;POPIÓŁ LOTNY;225;225
17-01-2024;CEM II 42.5 BS;900;899
17-01-2024;CEM II/BS 42.5;180;182
17-01-2024;8-16;3150;3155
17-01-2024;2-8;1620;1620
17-01-2024;0-2;3420;3495
17-01-2024;POLIMER;8.1;8.05
17-01-2024;woda czysta;675;324
17-01-2024;POPIÓŁ LOTNY;495;494
17-01-2024;CEM II 42.5 BS;1890;1888
17-01-2024;CEM II/BS 42.5;450;449
17-01-2024;8-16;6840;6830
17-01-2024;2-8;2700;2720
17-01-2024;0-2;6930;7105
17-01-2024;POLIMER;18;18
17-01-2024;woda czysta;1350;822
17-01-2024;POPIÓŁ LOTNY;300;299
17-01-2024;CEM II 42.5 BS;1200;1200
17-01-2024;CEM II/BS 42.5;240;240
17-01-2024;8-16;4200;4190
17-01-2024;2-8;2160;2150
17-01-2024;0-2;4560;4650
17-01-2024;POLIMER;10.8;10.8
17-01-2024;woda czysta;900;447
17-01-2024;POPIÓŁ LOTNY;401.5;403
17-01-2024;CEM II 42.5 BS;1533;1531
17-01-2024;CEM II/BS 42.5;365;364
17-01-2024;8-16;5548;5545
17-01-2024;2-8;2190;2210
17-01-2024;0-2;5621;5755
17-01-2024;POLIMER;14.6;14.55
17-01-2024;woda czysta;1095;567
23-01-2024;CEM II 42.5 BS;48;49
23-01-2024;CEM II/BS 42.5;176;177
23-01-2024;0-2;1160;1185
23-01-2024;ZM;2.8;2.8
23-01-2024;woda czysta;104;16
23-01-2024;POPIÓŁ LOTNY;630;630
23-01-2024;CEM II 42.5 BS;1763.9999;1764
23-01-2024;CEM II/BS 42.5;420;420
23-01-2024;8-16;6803.9995;6860
23-01-2024;2-8;2520;2545
23-01-2024;0-2;6215.9995;6385
23-01-2024;POLIMER;16.8;16.85
23-01-2024;woda czysta;1260;795
23-01-2024;POPIÓŁ LOTNY;772.5;773
23-01-2024;CEM II 42.5 BS;2163;2163
23-01-2024;CEM II/BS 42.5;515;517
23-01-2024;8-16;8343;8405
23-01-2024;2-8;3090;3120
23-01-2024;0-2;7622;7830
23-01-2024;POLIMER;20.6;20.65
23-01-2024;woda czysta;1545;974
23-01-2024;POPIÓŁ LOTNY;585;586
23-01-2024;CEM II 42.5 BS;1300;1300
23-01-2024;CEM II/BS 42.5;260;262
23-01-2024;8-16;4550;4590
23-01-2024;2-8;2340;2355
23-01-2024;0-2;4940;5070
23-01-2024;POLIMER;11.7;11.75
23-01-2024;woda czysta;975;821
23-01-2024;POPIÓŁ LOTNY;420;420
23-01-2024;CEM II 42.5 BS;1470;1469
23-01-2024;CEM II/BS 42.5;350;350
23-01-2024;8-16;5320;5435
23-01-2024;2-8;2100;2120
23-01-2024;0-2;5390;5545
23-01-2024;POLIMER;14;14.1
23-01-2024;woda czysta;1050;667
23-01-2024;POPIÓŁ LOTNY;675;674
23-01-2024;CEM II 42.5 BS;1890;1889
23-01-2024;CEM II/BS 42.5;450;451
23-01-2024;8-16;7290;7310
23-01-2024;2-8;2700;2755
23-01-2024;0-2;6660;6815
23-01-2024;POLIMER;18;18
23-01-2024;woda czysta;1350;886
23-01-2024;POPIÓŁ LOTNY;720;719
23-01-2024;CEM II 42.5 BS;1600;1598
23-01-2024;CEM II/BS 42.5;320;320
23-01-2024;8-16;5600;5630
23-01-2024;2-8;2880;2865
23-01-2024;0-2;6080;6230
23-01-2024;POLIMER;14.4;14.4
23-01-2024;woda czysta;1200;832
23-01-2024;POPIÓŁ LOTNY;825;825
23-01-2024;CEM II 42.5 BS;2310;2312
23-01-2024;CEM II/BS 42.5;550;551
23-01-2024;8-16;8910;8970
23-01-2024;2-8;3300;3340
23-01-2024;0-2;8140;8310
23-01-2024;POLIMER;22;21.9
23-01-2024;woda czysta;1650;1083
23-01-2024;POPIÓŁ LOTNY;657;658
23-01-2024;CEM II 42.5 BS;1460;1459
23-01-2024;CEM II/BS 42.5;292;294
23-01-2024;8-16;5110;5155
23-01-2024;2-8;2628;2650
23-01-2024;0-2;5548;5715
23-01-2024;POLIMER;13.14;13.1
23-01-2024;woda czysta;1095;922
23-01-2024;POPIÓŁ LOTNY;720;721
23-01-2024;CEM II 42.5 BS;1600;1600
23-01-2024;CEM II/BS 42.5;320;318
23-01-2024;8-16;5600;5680
23-01-2024;2-8;2880;2895
23-01-2024;0-2;6080;6250
23-01-2024;POLIMER;14.4;14.4
23-01-2024;woda czysta;1200;1064
23-01-2024;POPIÓŁ LOTNY;600;600
23-01-2024;CEM II 42.5 BS;1680;1679
23-01-2024;CEM II/BS 42.5;400;399
23-01-2024;8-16;6480;6525
23-01-2024;2-8;2400;2410
23-01-2024;0-2;5920;6060
23-01-2024;POLIMER;16;15.9
23-01-2024;woda czysta;1200;1055
23-01-2024;POPIÓŁ LOTNY;675;676
23-01-2024;CEM II 42.5 BS;1890;1888
23-01-2024;CEM II/BS 42.5;450;453
23-01-2024;8-16;7290;7315
23-01-2024;2-8;2700;2745
23-01-2024;0-2;6660;6825
23-01-2024;POLIMER;18;18.05
23-01-2024;woda czysta;1350;1202
23-01-2024;POPIÓŁ LOTNY;570;571
23-01-2024;CEM II 42.5 BS;1596;1595
23-01-2024;CEM II/BS 42.5;380;381
23-01-2024;8-16;6156;6205
23-01-2024;2-8;2280;2285
23-01-2024;0-2;5624;5795
23-01-2024;POLIMER;15.2;15.2
23-01-2024;woda czysta;1140;998
23-01-2024;POPIÓŁ LOTNY;225;226
23-01-2024;CEM II 42.5 BS;500;501
23-01-2024;CEM II/BS 42.5;100;101
23-01-2024;8-16;1750;1885
23-01-2024;2-8;900;915
23-01-2024;0-2;1900;1905
23-01-2024;POLIMER;4.5;4.55
23-01-2024;woda czysta;375;326
31-01-2024;CEM II 42.5 BS;30;33
31-01-2024;CEM II/BS 42.5;110;108
31-01-2024;0-2;725;790
31-01-2024;ZM;1.75;1.75
31-01-2024;woda czysta;65;12
31-01-2024;CEM II 42.5 BS;240;238
31-01-2024;CEM II/BS 42.5;880;879
31-01-2024;0-2;5800;5950
31-01-2024;ZM;14;13.95
31-01-2024;woda czysta;520;74
01-02-2024;CEM II 42.5 BS;180;179
01-02-2024;CEM II/BS 42.5;660;661
01-02-2024;0-2;4350;4485
01-02-2024;ZM;10.5;10.5
01-02-2024;woda czysta;390;187
01-02-2024;CEM II 42.5 BS;60;58
01-02-2024;CEM II/BS 42.5;220;220
01-02-2024;0-2;1450;1505
01-02-2024;ZM;3.5;3.45
01-02-2024;woda czysta;130;34
01-02-2024;CEM II 42.5 BS;120;119
01-02-2024;CEM II/BS 42.5;440;441
01-02-2024;0-2;2900;2995
01-02-2024;ZM;7;7.1
01-02-2024;woda czysta;260;63
02-02-2024;CEM II 42.5 BS;120;123
02-02-2024;CEM II/BS 42.5;440;438
02-02-2024;0-2;2900;2970
02-02-2024;ZM;7;6.95
02-02-2024;woda czysta;260;7
02-02-2024;POPIÓŁ LOTNY;480;480
02-02-2024;CEM II 42.5 BS;1440;1438
02-02-2024;CEM II/BS 42.5;640;639
02-02-2024;8-16;6080;6150
02-02-2024;2-8;2400;2385
02-02-2024;0-2;6160;6385
02-02-2024;POLIMER;16;16.05
02-02-2024;woda czysta;1200;955
02-02-2024;POPIÓŁ LOTNY;547.5;547
02-02-2024;CEM II 42.5 BS;1533;1535
02-02-2024;CEM II/BS 42.5;365;367
02-02-2024;8-16;5913;5945
02-02-2024;2-8;2190;2265
02-02-2024;0-2;5402;5540
02-02-2024;POLIMER;14.6;14.6
02-02-2024;woda czysta;1095;874
02-02-2024;POPIÓŁ LOTNY;800;800
02-02-2024;CEM II 42.5 BS;520;521
02-02-2024;CEM II/BS 42.5;520;520
02-02-2024;8-16;6480;6450
02-02-2024;2-8;2640;2800
02-02-2024;0-2;5800;5895
02-02-2024;woda czysta;1280;1071
02-02-2024;POPIÓŁ LOTNY;525;526
02-02-2024;CEM II 42.5 BS;1470;1472
02-02-2024;CEM II/BS 42.5;350;349
02-02-2024;8-16;5670;5690
02-02-2024;2-8;2100;2170
02-02-2024;0-2;5180;5320
02-02-2024;POLIMER;14;13.95
02-02-2024;woda czysta;1050;811
02-02-2024;POPIÓŁ LOTNY;465;465
02-02-2024;CEM II 42.5 BS;1302;1301
02-02-2024;CEM II/BS 42.5;310;308
02-02-2024;8-16;5022;5105
02-02-2024;2-8;1860;1890
02-02-2024;0-2;4588;4685
02-02-2024;POLIMER;12.4;12.45
02-02-2024;woda czysta;930;737
02-02-2024;POPIÓŁ LOTNY;675;674
02-02-2024;CEM II 42.5 BS;1890;1890
02-02-2024;CEM II/BS 42.5;450;451
02-02-2024;8-16;7290;7320
02-02-2024;2-8;2700;2790
02-02-2024;0-2;6660;6855
02-02-2024;POLIMER;18;17.95
02-02-2024;woda czysta;1350;1065
02-02-2024;POPIÓŁ LOTNY;480;480
02-02-2024;CEM II 42.5 BS;1440;1437
02-02-2024;CEM II/BS 42.5;640;638
02-02-2024;8-16;6080;6125
02-02-2024;2-8;2400;2600
02-02-2024;0-2;6160;6355
02-02-2024;POLIMER;16;15.95
02-02-2024;woda czysta;1200;952
02-02-2024;POPIÓŁ LOTNY;600;600
02-02-2024;CEM II 42.5 BS;1680;1678
02-02-2024;CEM II/BS 42.5;400;400
02-02-2024;8-16;6480;6525
02-02-2024;2-8;2400;2430
02-02-2024;0-2;5920;6085
02-02-2024;POLIMER;16;16
02-02-2024;woda czysta;1200;968
02-02-2024;POPIÓŁ LOTNY;480;481
02-02-2024;CEM II 42.5 BS;1440;1438
02-02-2024;CEM II/BS 42.5;640;639
02-02-2024;8-16;6080;6140
02-02-2024;2-8;2400;2405
02-02-2024;0-2;6160;6355
02-02-2024;POLIMER;16;15.95
02-02-2024;woda czysta;1200;984
02-02-2024;POPIÓŁ LOTNY;562.5;563
02-02-2024;CEM II 42.5 BS;1575;1575
02-02-2024;CEM II/BS 42.5;375;374
02-02-2024;8-16;6075;6095
02-02-2024;2-8;2250;2270
02-02-2024;0-2;5550;5715
02-02-2024;POLIMER;15;15
02-02-2024;woda czysta;1125;923
02-02-2024;POPIÓŁ LOTNY;600;600
02-02-2024;CEM II 42.5 BS;1680;1679
02-02-2024;CEM II/BS 42.5;400;399
02-02-2024;8-16;6480;6545
02-02-2024;2-8;2400;2415
02-02-2024;0-2;5920;6095
02-02-2024;POLIMER;16;16
02-02-2024;woda czysta;1200;977
02-02-2024;POPIÓŁ LOTNY;637.5;638
02-02-2024;CEM II 42.5 BS;1785;1784
02-02-2024;CEM II/BS 42.5;425;423
02-02-2024;8-16;6885;6955
02-02-2024;2-8;2550;2620
02-02-2024;0-2;6290;6460
02-02-2024;POLIMER;17;17
02-02-2024;woda czysta;1275;984
02-02-2024;POPIÓŁ LOTNY;600;601
02-02-2024;CEM II 42.5 BS;1680;1681
02-02-2024;CEM II/BS 42.5;400;401
02-02-2024;8-16;6480;6450
02-02-2024;2-8;2400;2530
02-02-2024;0-2;5920;6055
02-02-2024;POLIMER;16;16.1
02-02-2024;woda czysta;1200;954
02-02-2024;POPIÓŁ LOTNY;600;602
02-02-2024;CEM II 42.5 BS;1680;1679
02-02-2024;CEM II/BS 42.5;400;399
02-02-2024;8-16;6480;6565
02-02-2024;2-8;2400;2435
02-02-2024;0-2;5920;6105
02-02-2024;POLIMER;16;15.95
02-02-2024;woda czysta;1200;941
02-02-2024;POPIÓŁ LOTNY;600;601
02-02-2024;CEM II 42.5 BS;1680;1674
02-02-2024;CEM II/BS 42.5;400;399
02-02-2024;8-16;6480;6530
02-02-2024;2-8;2400;2580
02-02-2024;0-2;5920;6070
02-02-2024;POLIMER;16;16
02-02-2024;woda czysta;1200;1019
02-02-2024;POPIÓŁ LOTNY;600;600
02-02-2024;CEM II 42.5 BS;1680;1677
02-02-2024;CEM II/BS 42.5;400;399
02-02-2024;8-16;6480;6525
02-02-2024;2-8;2400;2410
02-02-2024;0-2;5920;6100
02-02-2024;POLIMER;16;16
02-02-2024;woda czysta;1200;1038
02-02-2024;POPIÓŁ LOTNY;600;601
02-02-2024;CEM II 42.5 BS;1680;1685
02-02-2024;CEM II/BS 42.5;400;400
02-02-2024;8-16;6480;6490
02-02-2024;2-8;2400;2515
02-02-2024;0-2;5920;6005
02-02-2024;POLIMER;16;16
02-02-2024;woda czysta;1200;1067
02-02-2024;POPIÓŁ LOTNY;600;598
02-02-2024;CEM II 42.5 BS;1680;1682
02-02-2024;CEM II/BS 42.5;400;397
02-02-2024;8-16;6480;6525
02-02-2024;2-8;2400;2405
02-02-2024;0-2;5920;6090
02-02-2024;POLIMER;16;16.05
02-02-2024;woda czysta;1200;1015
02-02-2024;POPIÓŁ LOTNY;600;600
02-02-2024;CEM II 42.5 BS;1680;1679
02-02-2024;CEM II/BS 42.5;400;399
02-02-2024;8-16;6480;6510
02-02-2024;2-8;2400;2400
02-02-2024;0-2;5920;6085
02-02-2024;POLIMER;16;15.95
02-02-2024;woda czysta;1200;1025
02-02-2024;POPIÓŁ LOTNY;532;533
02-02-2024;CEM II 42.5 BS;1368;1367
02-02-2024;CEM II/BS 42.5;456;456
02-02-2024;8-16;5320;5360
02-02-2024;2-8;2736;2780
02-02-2024;0-2;5776;5955
02-02-2024;POLIMER;13.68;13.7
02-02-2024;woda czysta;1140;920
02-02-2024;POPIÓŁ LOTNY;600;600
02-02-2024;CEM II 42.5 BS;1800;1799
02-02-2024;CEM II/BS 42.5;800;801
02-02-2024;8-16;7600;7635
02-02-2024;2-8;3000;3035
02-02-2024;0-2;7700;7905
02-02-2024;POLIMER;20;20.05
02-02-2024;woda czysta;1500;1271
02-02-2024;POPIÓŁ LOTNY;562.5;562
02-02-2024;CEM II 42.5 BS;1575;1578
02-02-2024;CEM II/BS 42.5;375;374
02-02-2024;8-16;6075;6115
02-02-2024;2-8;2250;2430
02-02-2024;0-2;5550;5700
02-02-2024;POLIMER;15;15
02-02-2024;woda czysta;1125;970
02-02-2024;POPIÓŁ LOTNY;630;631
02-02-2024;CEM II 42.5 BS;1620;1618
02-02-2024;CEM II/BS 42.5;540;540
02-02-2024;8-16;6300;6350
02-02-2024;2-8;3240;3410
02-02-2024;0-2;6840;7025
02-02-2024;POLIMER;16.2;16.2
02-02-2024;woda czysta;1350;1189
02-02-2024;POPIÓŁ LOTNY;600;600
02-02-2024;CEM II 42.5 BS;1680;1679
02-02-2024;CEM II/BS 42.5;400;399
02-02-2024;8-16;6480;6450
02-02-2024;2-8;2400;2720
02-02-2024;0-2;5920;6020
02-02-2024;POLIMER;16;16
02-02-2024;woda czysta;1200;1094
02-02-2024;POPIÓŁ LOTNY;630;630
02-02-2024;CEM II 42.5 BS;1620;1618
02-02-2024;CEM II/BS 42.5;540;540
02-02-2024;8-16;6300;6355
02-02-2024;2-8;3240;3255
02-02-2024;0-2;6840;7005
02-02-2024;POLIMER;16.2;16.2
02-02-2024;woda czysta;1350;1216
14-02-2024;POPIÓŁ LOTNY;480;481
14-02-2024;CEM II 42.5 BS;1000;997
14-02-2024;CEM II/BS 42.5;1040;1040
14-02-2024;16-32;3040;3085
14-02-2024;8-16;3360;3450
14-02-2024;2-8;2400;2605
14-02-2024;0-2;5840;5995
14-02-2024;POLIMER;12.8;12.8
14-02-2024;woda czysta;1240;959
14-02-2024;POPIÓŁ LOTNY;480;479
14-02-2024;CEM II 42.5 BS;1000;1000
14-02-2024;CEM II/BS 42.5;1040;1041
14-02-2024;16-32;3040;3045
14-02-2024;8-16;3360;3420
14-02-2024;2-8;2400;2435
14-02-2024;0-2;5840;5980
14-02-2024;POLIMER;12.8;12.75
14-02-2024;woda czysta;1240;1007
14-02-2024;POPIÓŁ LOTNY;462;461
14-02-2024;CEM II 42.5 BS;962.5;961
14-02-2024;CEM II/BS 42.5;1001;1000
14-02-2024;16-32;3080;3205
14-02-2024;8-16;3080;3125
14-02-2024;2-8;2310;2355
14-02-2024;0-2;5621;5760
14-02-2024;POLIMER;12.32;12.5
14-02-2024;woda czysta;1193.5;972
14-02-2024;POPIÓŁ LOTNY;480;480
14-02-2024;CEM II 42.5 BS;1000;1001
14-02-2024;CEM II/BS 42.5;1040;1039
14-02-2024;16-32;3200;3295
14-02-2024;8-16;3200;3235
14-02-2024;2-8;2400;2410
14-02-2024;0-2;5840;6020
14-02-2024;POLIMER;12.8;12.8
14-02-2024;woda czysta;1240;1002
14-02-2024;POPIÓŁ LOTNY;480;480
14-02-2024;CEM II 42.5 BS;1000;1001
14-02-2024;CEM II/BS 42.5;1040;1042
14-02-2024;16-32;3200;3250
14-02-2024;8-16;3200;3250
14-02-2024;2-8;2400;2385
14-02-2024;0-2;5840;6000
14-02-2024;POLIMER;12.8;12.7
14-02-2024;woda czysta;1240;1028
14-02-2024;POPIÓŁ LOTNY;320;321
14-02-2024;CEM II 42.5 BS;1200;1203
14-02-2024;CEM II/BS 42.5;1200;1202
14-02-2024;8-16;6480;6535
14-02-2024;2-8;3208;3240
14-02-2024;0-2;4960;5110
14-02-2024;POLIMER;14.4;14.35
14-02-2024;woda czysta;1200;1110
14-02-2024;POPIÓŁ LOTNY;480;481
14-02-2024;CEM II 42.5 BS;1000;998
14-02-2024;CEM II/BS 42.5;1040;1041
14-02-2024;16-32;3200;3225
14-02-2024;8-16;3200;3190
14-02-2024;2-8;2400;2395
14-02-2024;0-2;5840;6040
14-02-2024;POLIMER;12.8;12.8
14-02-2024;woda czysta;1240;1038
14-02-2024;POPIÓŁ LOTNY;480;481
14-02-2024;CEM II 42.5 BS;1600;1600
14-02-2024;CEM II/BS 42.5;480;480
14-02-2024;8-16;6480;6540
14-02-2024;2-8;2400;2390
14-02-2024;0-2;5920;6095
14-02-2024;POLIMER;16;16.05
14-02-2024;woda czysta;1200;1012
14-02-2024;POPIÓŁ LOTNY;480;479
14-02-2024;CEM II 42.5 BS;1000;999
14-02-2024;CEM II/BS 42.5;1040;1040
14-02-2024;16-32;3200;3225
14-02-2024;8-16;3200;3240
14-02-2024;2-8;2400;2430
14-02-2024;0-2;5840;6000
14-02-2024;POLIMER;12.8;12.75
14-02-2024;woda czysta;1240;1033
14-02-2024;POPIÓŁ LOTNY;560;561
14-02-2024;CEM II 42.5 BS;1120;1123
14-02-2024;CEM II/BS 42.5;800;798
14-02-2024;8-16;5600;5695
14-02-2024;2-8;2880;2890
14-02-2024;0-2;6080;6210
14-02-2024;POLIMER;14.4;14.45
14-02-2024;woda czysta;1200;1061
14-02-2024;POPIÓŁ LOTNY;630;632
14-02-2024;CEM II 42.5 BS;1260;1260
14-02-2024;CEM II/BS 42.5;900;899
14-02-2024;8-16;6300;6400
14-02-2024;2-8;3240;3235
14-02-2024;0-2;6840;7040
14-02-2024;POLIMER;16.2;16.2
14-02-2024;woda czysta;1350;1093
14-02-2024;POPIÓŁ LOTNY;480;481
14-02-2024;CEM II 42.5 BS;1040;1037
14-02-2024;CEM II/BS 42.5;1120;1120
14-02-2024;8-16;6080;6110
14-02-2024;2-8;2400;2425
14-02-2024;0-2;6160;6360
14-02-2024;POLIMER;16;15.95
14-02-2024;woda czysta;1200;1058
14-02-2024;POPIÓŁ LOTNY;558;557
14-02-2024;CEM II 42.5 BS;1860;1860
14-02-2024;CEM II/BS 42.5;558;558
14-02-2024;8-16;7533;7555
14-02-2024;2-8;2790;2835
14-02-2024;0-2;6882;7045
14-02-2024;POLIMER;18.6;18.65
14-02-2024;woda czysta;1395;1291
14-02-2024;POPIÓŁ LOTNY;420;420
14-02-2024;CEM II 42.5 BS;1400;1400
14-02-2024;CEM II/BS 42.5;420;420
14-02-2024;8-16;5670;5705
14-02-2024;2-8;2100;2130
14-02-2024;0-2;5180;5295
14-02-2024;POLIMER;14;14
14-02-2024;woda czysta;1050;914
14-02-2024;POPIÓŁ LOTNY;30;32
14-02-2024;CEM II 42.5 BS;100;97
14-02-2024;CEM II/BS 42.5;30;33
14-02-2024;8-16;405;425
14-02-2024;2-8;150;190
14-02-2024;0-2;370;380
14-02-2024;POLIMER;1;1.05
14-02-2024;woda czysta;75;44
15-02-2024;CEM II 42.5 BS;120;122
15-02-2024;CEM II/BS 42.5;440;435
15-02-2024;0-2;2900;2985
15-02-2024;ZM;7;7
15-02-2024;woda czysta;260;119
15-02-2024;CEM II 42.5 BS;72;71
15-02-2024;CEM II/BS 42.5;264;263
15-02-2024;0-2;1740.0001;1800
15-02-2024;ZM;4.2;4.3
15-02-2024;woda czysta;156;77
15-02-2024;CEM II 42.5 BS;60;58
15-02-2024;CEM II/BS 42.5;220;219
15-02-2024;0-2;1450;1495
15-02-2024;ZM;3.5;3.5
15-02-2024;woda czysta;130;49
15-02-2024;CEM II 42.5 BS;60;58
15-02-2024;CEM II/BS 42.5;220;218
15-02-2024;0-2;1450;1490
15-02-2024;ZM;3.5;3.45
15-02-2024;woda czysta;130;60
16-02-2024;CEM II 42.5 BS;120;124
16-02-2024;CEM II/BS 42.5;440;438
16-02-2024;0-2;2900;2990
16-02-2024;ZM;7;7.05
16-02-2024;woda czysta;260;120
19-02-2024;CEM II 42.5 BS;60;62
19-02-2024;CEM II/BS 42.5;220;216
19-02-2024;0-2;1450;1495
19-02-2024;ZM;3.5;3.5
19-02-2024;woda czysta;130;60
19-02-2024;CEM II 42.5 BS;270;268
19-02-2024;CEM II/BS 42.5;990;989
19-02-2024;0-2;6525;6760
19-02-2024;ZM;15.75;15.7
19-02-2024;woda czysta;585;304
19-02-2024;CEM II 42.5 BS;72;71
19-02-2024;CEM II/BS 42.5;264;262
19-02-2024;0-2;1740.0001;1790
19-02-2024;ZM;4.2;4.2
19-02-2024;woda czysta;156;70
19-02-2024;CEM II 42.5 BS;90;90
19-02-2024;CEM II/BS 42.5;330;329
19-02-2024;0-2;2175;2240
19-02-2024;ZM;5.25;5.3
19-02-2024;woda czysta;195;56
19-02-2024;CEM II 42.5 BS;180;181
19-02-2024;CEM II/BS 42.5;660;660
19-02-2024;0-2;4350;4475
19-02-2024;ZM;10.5;10.5
19-02-2024;woda czysta;390;180
19-02-2024;CEM II 42.5 BS;90;89
19-02-2024;CEM II/BS 42.5;330;328
19-02-2024;0-2;2175;2245
19-02-2024;ZM;5.25;5.1
19-02-2024;woda czysta;195;82
19-02-2024;POPIÓŁ LOTNY;480;482
19-02-2024;CEM II 42.5 BS;1040;1039
19-02-2024;CEM II/BS 42.5;1120;1116
19-02-2024;8-16;6080;6100
19-02-2024;2-8;2400;2580
19-02-2024;0-2;6160;6355
19-02-2024;POLIMER;16;15.85
19-02-2024;woda czysta;1200;1018
19-02-2024;POPIÓŁ LOTNY;480;480
19-02-2024;CEM II 42.5 BS;1000;999
19-02-2024;CEM II/BS 42.5;1040;1047
19-02-2024;16-32;3200;3225
19-02-2024;8-16;3200;3225
19-02-2024;2-8;2400;2445
19-02-2024;0-2;5840;5995
19-02-2024;POLIMER;12.8;12.8
19-02-2024;woda czysta;1240;1056
19-02-2024;POPIÓŁ LOTNY;480;478
19-02-2024;CEM II 42.5 BS;1000;1001
19-02-2024;CEM II/BS 42.5;1040;1039
19-02-2024;16-32;3200;3260
19-02-2024;8-16;3200;3235
19-02-2024;2-8;2400;2410
19-02-2024;0-2;5840;6000
19-02-2024;POLIMER;12.8;12.9
19-02-2024;woda czysta;1240;1083
19-02-2024;POPIÓŁ LOTNY;490;489
19-02-2024;CEM II 42.5 BS;980;978
19-02-2024;CEM II/BS 42.5;700;699
19-02-2024;8-16;4900;4900
19-02-2024;2-8;2520;2505
